Drug,ADR_all,ADR_top5,Quality,Fold
таваник,Дискомфорт в голове; Боль в верхних отделах живота; Патология желудка; Флатуленция,Дискомфорт в голове; Боль в верхних отделах живота; Патология желудка; Флатуленция,"плохой, частые побочные реакции",4
асепта,Тошнота,Тошнота,плохой,3
эхинацеи трава,Эритема,Эритема,"плохой, частые побочные реакции",5
кедровый эффект,Диспепсия; Сухость во рту,Диспепсия; Сухость во рту,плохой,1
тонгинал,Переносимость препарата,Переносимость препарата,"плохой, частые побочные реакции",1
posay effaclar duo+,Сухая кожа; Боль в месте применения,Сухая кожа; Боль в месте применения,плохой,3
супрадин,Дискомфорт; Диспепсия; Диарея; Боль в верхних отделах живота; Зуд; Эксфолиация кожи,Дискомфорт; Диспепсия; Диарея; Боль в верхних отделах живота; Зуд,"плохой, частые побочные реакции",4
окситоцин-рихтер,Гипотонус матки; Гиперчувствительность,Гипотонус матки; Гиперчувствительность,"плохой, частые побочные реакции",1
окситоцина,Гипотонус матки; Гиперчувствительность,Гипотонус матки; Гиперчувствительность,"плохой, частые побочные реакции",2
актрапид,Нейропатия периферическая; Отек в месте инъекции; Отек; Крапивница; Нарушение рефракции; Гипогликемия; Сыпь; Диабетическая ретинопатия; Анафилактическая реакция; Боль; Боль в верхних отделах живота,Нейропатия периферическая; Отек в месте инъекции; Отек; Крапивница; Нарушение рефракции,"плохой, частые побочные реакции",1
инсулин,Нейропатия периферическая; Отек в месте инъекции; Отек; Крапивница; Нарушение рефракции; Гипогликемия; Сыпь; Диабетическая ретинопатия; Анафилактическая реакция,Нейропатия периферическая; Отек в месте инъекции; Отек; Крапивница; Нарушение рефракции,"плохой, частые побочные реакции",2
имудоном,Ухудшение состояния,Ухудшение состояния,"плохой, частые побочные реакции",5
эриспирус,Снижение артериального давления; Тахикардия; Астения; Сомнолентность; Головокружение; Частота сердечных сокращений выше нормы; Сердцебиение; Вялость,Снижение артериального давления; Тахикардия; Астения; Сомнолентность; Головокружение,"плохой, частые побочные реакции",2
ферлатум,Патология желудочно-кишечного тракта; Изменение цвета фекалий; Гиперемезис беременных; Боль в верхних отделах живота; Рвота,Патология желудочно-кишечного тракта; Изменение цвета фекалий; Гиперемезис беременных; Боль в верхних отделах живота; Рвота,плохой,5
биогая детские капли,Расстройство поведения; Боль в животе; Раздражительность; Плач; Бессонница,Расстройство поведения; Боль в животе; Раздражительность; Плач; Бессонница,плохой,1
фемибиона,Повышение уровня печеночных ферментов; Медикаментозное поражение печени; Нарушение со стороны печени; Холестаз; Гипотонус матки; Флатуленция,Повышение уровня печеночных ферментов; Медикаментозное поражение печени; Нарушение со стороны печени; Холестаз; Гипотонус матки,"плохой, частые побочные реакции",3
femibion,Повышение уровня печеночных ферментов; Медикаментозное поражение печени; Нарушение со стороны печени; Холестаз,Повышение уровня печеночных ферментов; Медикаментозное поражение печени; Нарушение со стороны печени; Холестаз,плохой,2
гинезол,Абдоминальный дискомфорт; Зуд; Цистит,Абдоминальный дискомфорт; Зуд; Цистит,плохой,5
ацилакт,Абдоминальный дискомфорт; Зуд; Цистит,Абдоминальный дискомфорт; Зуд; Цистит,плохой,4
азинтроп,Конъюнктивит,Конъюнктивит,плохой,3
флоксал,Конъюнктивит,Конъюнктивит,плохой,5
флюарикс,Повышенная температура тела,Повышенная температура тела,плохой,4
сульпирид,Повышение уровня пролактина в крови; Повышенная послеродовая лактация; Сомнолентность,Повышение уровня пролактина в крови; Повышенная послеродовая лактация; Сомнолентность,"плохой, частые побочные реакции",5
супракс солютаб,Снижение аппетита; Боль в верхних отделах живота; Дисбиоз; Сухость во рту,Снижение аппетита; Боль в верхних отделах живота; Дисбиоз; Сухость во рту,"плохой, частые побочные реакции",5
мемы,"Чувство тревоги; Состояние спутанности сознания; Галлюцинации, зрительные","Чувство тревоги; Состояние спутанности сознания; Галлюцинации, зрительные",плохой,3
имован,Дисгевзия; Депрессия; Интрасомническое расстройство; Ажитация; Сердцебиение,Дисгевзия; Депрессия; Интрасомническое расстройство; Ажитация; Сердцебиение,плохой,3
золофт,Зависимость; Паническая атака; Чувство угнетения; Большая депрессия; Чувство тревоги; Чувство отчаяния; Суицидальные мысли,Зависимость; Паническая атака; Чувство угнетения; Большая депрессия; Чувство тревоги,плохой,2
церукал,Брадикардия; Частота сердечных сокращений ниже нормы; Сомнолентность; Головная боль; Снижение аппетита; Астения; Тошнота; Снижение веса,Брадикардия; Частота сердечных сокращений ниже нормы; Сомнолентность; Головная боль; Снижение аппетита,"плохой, частые побочные реакции",4
звездочка флю,Гипестезия; Похмелье; Вялость; Головокружение; Сыпь; Нарушение походки,Гипестезия; Похмелье; Вялость; Головокружение; Сыпь,плохой,5
настойка березовых почек,,,"плохой, не помогает",1
бусерилин,Снижение либидо; Перепады настроения,Снижение либидо; Перепады настроения,"плохой, частые побочные реакции",2
лозап,Чувство угнетения; Плохое самочувствие,Чувство угнетения; Плохое самочувствие,плохой,1
наклофен,Сердцебиение; Боль в животе,Сердцебиение; Боль в животе,"плохой, частые побочные реакции",2
бисептол,Потеря сознания; Дисгевзия; Головокружение; Токсичное воздействие различных веществ; Тошнота,Потеря сознания; Дисгевзия; Головокружение; Токсичное воздействие различных веществ; Тошнота,"плохой, частые побочные реакции",2
бромокриптин,Головокружение; Потеря сознания; Головная боль; Запор; Тиннитус; Рвота; Тошнота; Заложенность носа; Частота сердечных сокращений выше нормы; Астения; Сомнолентность; Снижение артериального давления,Головокружение; Потеря сознания; Головная боль; Запор; Тиннитус,"плохой, частые побочные реакции",3
диакарб,Астения; Снижение уровня калия в крови,Астения; Снижение уровня калия в крови,"плохой, частые побочные реакции",4
аллергозан,Кожное раздражение; Зуд,Кожное раздражение; Зуд,"плохой, частые побочные реакции",5
линекс форте,Запор,Запор,"плохой, частые побочные реакции",5
будь здоров,Диарея; Боль в верхних отделах живота,Диарея; Боль в верхних отделах живота,плохой,3
бубо-кок,Одышка; Повышенная температура тела; Пирексия; Стеноз гортани,Одышка; Повышенная температура тела; Пирексия; Стеноз гортани,"плохой, частые побочные реакции",2
кеппра,Агрессия; Абстинентный синдром,Агрессия; Абстинентный синдром,плохой,2
пенцикловир,,,"плохой, не помогает",5
аторакс,Сомнолентность,Сомнолентность,"плохой, частые побочные реакции",3
кардофлекса,Сомнолентность; Снижение артериального давления; Головокружение; Астения,Сомнолентность; Снижение артериального давления; Головокружение; Астения,плохой,2
капотен,Сомнолентность; Снижение артериального давления; Головокружение; Астения; Головная боль; Повышение артериального давления,Сомнолентность; Снижение артериального давления; Головокружение; Астения; Головная боль,"плохой, частые побочные реакции",2
физиотензом,Сомнолентность; Снижение артериального давления; Головокружение; Астения,Сомнолентность; Снижение артериального давления; Головокружение; Астения,плохой,5
грандаксин,Сомнолентность; Снижение уровня сознания,Сомнолентность; Снижение уровня сознания,плохой,5
ксизал,Диарея; Ажитация; Сомнолентность,Диарея; Ажитация; Сомнолентность,"плохой, частые побочные реакции",4
эктерицид,Гиперсекреторное слезоотделение; Головная боль; Дискомфорт в носу,Гиперсекреторное слезоотделение; Головная боль; Дискомфорт в носу,плохой,5
немозол,Сыпь; Запор; Боль в печени,Сыпь; Запор; Боль в печени,"плохой, частые побочные реакции",5
амелотекс,Боль в месте инъекции; Чувство жжения,Боль в месте инъекции; Чувство жжения,"плохой, частые побочные реакции",4
кокарнит,Боль в месте инъекции; Чувство жжения,Боль в месте инъекции; Чувство жжения,"плохой, частые побочные реакции",2
хондрогард,Боль в месте инъекции; Чувство жжения,Боль в месте инъекции; Чувство жжения,"плохой, частые побочные реакции",5
нормазе,Флатуленция,Флатуленция,плохой,2
живокост (босвелия,Гиперчувствительность,Гиперчувствительность,"плохой, частые побочные реакции",4
живокости с пчелиным ядом,Гиперчувствительность,Гиперчувствительность,"плохой, частые побочные реакции",2
мульти макс,Боль в верхних отделах живота; Гастрит,Боль в верхних отделах живота; Гастрит,"плохой, частые побочные реакции",2
тридерм,Кожный зуд в месте применения,Кожный зуд в месте применения,"плохой, частые побочные реакции",5
клотримазол,Вагинальные выделения; Боль в месте применения; Чувство жжения; Зуд; Колебания артериального давления; Боль; Головная боль; Головокружение; Продуктивный кашель; Боль в животе; Запор; Флатуленция; Ощущение инородного тела; Тошнота,Вагинальные выделения; Боль в месте применения; Чувство жжения; Зуд; Колебания артериального давления,плохой,5
бактериофаг,"Сыпь, макулезная; Дерматит","Сыпь, макулезная; Дерматит",плохой,2
гендевит,Переносимость препарата,Переносимость препарата,"плохой, частые побочные реакции",4
экстракт эхинацеи,,,хороший,4
рапимед,Сомнолентность,Сомнолентность,плохой,4
белосалик,Переносимость препарата,Переносимость препарата,"плохой, частые побочные реакции",4
креон,Запор; Нежелательная лекарственная реакция; Зависимость от психоактивных веществ/лекарственных препаратов,Запор; Нежелательная лекарственная реакция; Зависимость от психоактивных веществ/лекарственных препаратов,"плохой, частые побочные реакции",4
фенотропил,Повышенное либидо; Усиление аппетита; Абдоминальный дискомфорт; Гипометаболизм,Повышенное либидо; Усиление аппетита; Абдоминальный дискомфорт; Гипометаболизм,плохой,4
витрум беби,Гиперчувствительность; Эксфолиация кожи,Гиперчувствительность; Эксфолиация кожи,плохой,5
виру-мерц серол,,,"плохой, не помогает",2
бадяга иван чай,Гиперчувствительность; Зуд; Изменение цвета кожи,Гиперчувствительность; Зуд; Изменение цвета кожи,"плохой, частые побочные реакции",3
париет,Боль; Боль в животе,Боль; Боль в животе,плохой,4
доппельгерц актив с магнием и витаминами группы в,Снижение артериального давления,Снижение артериального давления,"плохой, частые побочные реакции",1
газоспазам,Сомнолентность; Сухость во рту,Сомнолентность; Сухость во рту,"плохой, частые побочные реакции",5
меmoria,Переносимость препарата,Переносимость препарата,плохой,3
омарон,Переносимость препарата; Сомнолентность; Головная боль,Переносимость препарата; Сомнолентность; Головная боль,"плохой, частые побочные реакции",3
серрата,Гепатомегалия; Дисгевзия; Диспепсия; Эрозивный гастрит,Гепатомегалия; Дисгевзия; Диспепсия; Эрозивный гастрит,плохой,1
левомиколь,Гепатомегалия; Дисгевзия; Диспепсия; Эрозивный гастрит,Гепатомегалия; Дисгевзия; Диспепсия; Эрозивный гастрит,плохой,3
сератту,Гепатомегалия; Дисгевзия; Диспепсия; Эрозивный гастрит,Гепатомегалия; Дисгевзия; Диспепсия; Эрозивный гастрит,плохой,5
офор,Гепатомегалия; Дисгевзия; Диспепсия; Эрозивный гастрит,Гепатомегалия; Дисгевзия; Диспепсия; Эрозивный гастрит,плохой,3
венолгон,Алопеция; Гиперчувствительность,Алопеция; Гиперчувствительность,"плохой, частые побочные реакции",5
сиофор,Колебания артериального давления; Диарея; Головная боль; Рвота,Колебания артериального давления; Диарея; Головная боль; Рвота,"плохой, частые побочные реакции",2
диас супер чистотел,Десквамация в месте применения; Боль в месте применения,Десквамация в месте применения; Боль в месте применения,"плохой, частые побочные реакции",4
назонекс,Дискомфорт; Сухость в носу; Зуд; Сухость во рту; Кровоизлияние; Эпистаксис; Заложенность носа,Дискомфорт; Сухость в носу; Зуд; Сухость во рту; Кровоизлияние,"плохой, частые побочные реакции",2
maxi-hair,Хроматурия,Хроматурия,"плохой, частые побочные реакции",2
ферумбо,Изменение цвета фекалий,Изменение цвета фекалий,плохой,1
листья сенны,Диарея; За ночь просыпался четыре раза от жуткой боли в кишечнике; Боль в животе,Диарея; За ночь просыпался четыре раза от жуткой боли в кишечнике; Боль в животе,плохой,2
фосфоглив форте,Повышение артериального давления,Повышение артериального давления,"плохой, частые побочные реакции",5
регулакс,Боль в верхних отделах живота; Боль в животе; Желудочно-кишечная боль,Боль в верхних отделах живота; Боль в животе; Желудочно-кишечная боль,"плохой, частые побочные реакции",3
анестезол,Дискомфорт в аноректальной области; Флатуленция; Боль; Чувство жжения,Дискомфорт в аноректальной области; Флатуленция; Боль; Чувство жжения,"плохой, частые побочные реакции",1
диклоберл 100,Боль; Дискомфорт; Патология желудочно-кишечного тракта; в животе как будто все воспалилось; сорвала кишечник,Боль; Дискомфорт; Патология желудочно-кишечного тракта; в животе как будто все воспалилось; сорвала кишечник,плохой,4
энгистол,,,"плохой, не помогает",2
прегабалин,Отечность глаз,Отечность глаз,плохой,3
когнум,пропал дневной сон; Расстройство поведения; Сыпь; Конверсионное расстройство,пропал дневной сон; Расстройство поведения; Сыпь; Конверсионное расстройство,плохой,3
дезринит,Рвота; Головная боль; Тошнота; Эпистаксис,Рвота; Головная боль; Тошнота; Эпистаксис,плохой,4
пилокарпин,Головная боль,Головная боль,"плохой, частые побочные реакции",5
кеторол,Головная боль; Боль; Снижение подвижности; Боль в животе; Патология желудка,Головная боль; Боль; Снижение подвижности; Боль в животе; Патология желудка,"плохой, частые побочные реакции",2
геримакс энерджи,Отвращение; Тошнота,Отвращение; Тошнота,"плохой, частые побочные реакции",3
динамизан,Отвращение; Тошнота,Отвращение; Тошнота,"плохой, частые побочные реакции",2
неосмектин,Запор,Запор,"плохой, частые побочные реакции",2
карсил,Диспепсия,Диспепсия,"плохой, частые побочные реакции",3
тринефрон,Диарея,Диарея,"плохой, частые побочные реакции",3
тринефрон-здоровье,Диарея,Диарея,"плохой, частые побочные реакции",1
таурин,Раздражение глаз,Раздражение глаз,"хороший, но есть побочные реакции",4
амитриптилин,Сомнолентность; Переносимость препарата; Абдоминальный дискомфорт; Усиление аппетита; Безразличие; Сухость во рту; Колебания артериального давления; Зависимость; Головокружение; Отечность,Сомнолентность; Переносимость препарата; Абдоминальный дискомфорт; Усиление аппетита; Безразличие,"плохой, частые побочные реакции",4
дротаверин,Боль в животе; Гипестезия; Тошнота,Боль в животе; Гипестезия; Тошнота,"плохой, частые побочные реакции",3
глюкофаж,Снижение аппетита; Диарея; Нарушение со стороны печени; Тошнота,Снижение аппетита; Диарея; Нарушение со стороны печени; Тошнота,"плохой, частые побочные реакции",4
метроформин,Снижение аппетита; Диарея; Нарушение со стороны печени; Тошнота,Снижение аппетита; Диарея; Нарушение со стороны печени; Тошнота,"плохой, частые побочные реакции",2
лангес,Одышка,Одышка,плохой,3
синуслифт,Сенсорное расстройство; Дискомфорт в носу; Чихание; Гиперсекреторное слезоотделение,Сенсорное расстройство; Дискомфорт в носу; Чихание; Гиперсекреторное слезоотделение,"плохой, частые побочные реакции",3
галазолин,Бессонница; Переносимость препарата,Бессонница; Переносимость препарата,"плохой, частые побочные реакции",2
миропристон,Диарея; Тошнота,Диарея; Тошнота,"плохой, частые побочные реакции",1
норгалакс,Желудочно-кишечная боль; Раздражение в месте применения; Зуд,Желудочно-кишечная боль; Раздражение в месте применения; Зуд,плохой,3
пантовигар,Головная боль; Диарея; влияющие на органы ЖКТ; сильно влияет на органы ЖКТ; Боль в животе; Головокружение; Боль в верхних отделах живота; Диспепсия; Рвота; Флатуленция; Тошнота; сильные головные боли; Увеличение веса,Головная боль; Диарея; влияющие на органы ЖКТ; сильно влияет на органы ЖКТ; Боль в животе,"плохой, частые побочные реакции",4
тетурам,"Ощущение жара; Галлюцинация; Сыпь, макулезная; Снижение уровня сознания; Тошнота","Ощущение жара; Галлюцинация; Сыпь, макулезная; Снижение уровня сознания; Тошнота","плохой, частые побочные реакции",2
цитофлавин,Колебания артериального давления,Колебания артериального давления,плохой,5
зодак,"Сомнолентность; Гиперчувствительность; Сыпь, макулезная; Зуд; Сыпь; Головокружение; Стенокардия","Сомнолентность; Гиперчувствительность; Сыпь, макулезная; Зуд; Сыпь","плохой, частые побочные реакции",2
master herb,Боль в шее,Боль в шее,"плохой, частые побочные реакции",4
триовит,Диафрагмалгия; Сенсорное расстройство; Гастрит; Снижение аппетита; Абдоминальный дискомфорт; Тошнота,Диафрагмалгия; Сенсорное расстройство; Гастрит; Снижение аппетита; Абдоминальный дискомфорт,плохой,3
фенебутом,Необычные сновидения; Чувство тревоги; Депрессия; Раздражительность,Необычные сновидения; Чувство тревоги; Депрессия; Раздражительность,"плохой, частые побочные реакции",1
беталок зок,Головная боль; Снижение артериального давления; Плохое самочувствие,Головная боль; Снижение артериального давления; Плохое самочувствие,плохой,2
хафитол,Нарушение со стороны печени; Повышение уровня аланинаминотрансферазы,Нарушение со стороны печени; Повышение уровня аланинаминотрансферазы,плохой,5
нафазолин,Сухость в носу,Сухость в носу,плохой,2
миноксидит,Рост волос аномальный,Рост волос аномальный,"плохой, частые побочные реакции",5
minoxidil,Рост волос аномальный,Рост волос аномальный,"плохой, частые побочные реакции",5
нандролон деканоат,Головная боль; Гематемезис; Лейкемоидная реакция; Крапивница; Дискомфорт; нарушение дыхания; Пелиоз печени; Изменение цвета фекалий; Печеночная недостаточность; Лейкемия; Боль в костях; Гепатоцеллюлярная карцинома; Состояние гипокоагуляции; Хроматурия; Нарушение функции печени,Головная боль; Гематемезис; Лейкемоидная реакция; Крапивница; Дискомфорт,"плохой, частые побочные реакции",3
ретаболил,Головная боль; Гематемезис; Лейкемоидная реакция; Крапивница; Дискомфорт; нарушение дыхания; Пелиоз печени; Изменение цвета фекалий; Печеночная недостаточность; Лейкемия; Боль в костях; Гепатоцеллюлярная карцинома; Состояние гипокоагуляции; Хроматурия; Нарушение функции печени,Головная боль; Гематемезис; Лейкемоидная реакция; Крапивница; Дискомфорт,"плохой, частые побочные реакции",4
гемоферон,Анафилактический шок; Потеря сознания; Гематохезия; Недостаточное кормление младенца,Анафилактический шок; Потеря сознания; Гематохезия; Недостаточное кормление младенца,плохой,2
анвифен,Расстройство поведения; Страх; Задержка развития,Расстройство поведения; Страх; Задержка развития,плохой,5
меновазин,Сомнолентность; Боль в верхних отделах живота; Астения; Боль кожных покровов,Сомнолентность; Боль в верхних отделах живота; Астения; Боль кожных покровов,"плохой, частые побочные реакции",3
сирдалуд,Сомнолентность; Боль в верхних отделах живота; Астения,Сомнолентность; Боль в верхних отделах живота; Астения,"плохой, частые побочные реакции",5
катадолон форте,Тахикардия; Тошнота,Тахикардия; Тошнота,"плохой, частые побочные реакции",5
артрозан,Тахикардия; Тошнота,Тахикардия; Тошнота,"плохой, частые побочные реакции",2
хлорпротиксен,Сомнолентность; Похмелье; Сухость во рту,Сомнолентность; Похмелье; Сухость во рту,"плохой, частые побочные реакции",5
дантинорм бэби,Диарея; Сыпь,Диарея; Сыпь,"плохой, частые побочные реакции",1
гемороль,Дискомфорт в аноректальной области; Сенсорное расстройство,Дискомфорт в аноректальной области; Сенсорное расстройство,"плохой, частые побочные реакции",1
смесь из размельченного чернослива и сены с маслом,Боль; Астения; Головная боль; Боль в животе,Боль; Астения; Головная боль; Боль в животе,плохой,3
кандибиотик,"Эритема; Гиперчувствительность; Сыпь, макулезная; Оторея","Эритема; Гиперчувствительность; Сыпь, макулезная; Оторея",плохой,3
аминолоном,Бессонница,Бессонница,"плохой, частые побочные реакции",5
нолицин,Тошнота; Сомнолентность; Рвота,Тошнота; Сомнолентность; Рвота,плохой,1
мотилиум,Тошнота; Сомнолентность; Рвота,Тошнота; Сомнолентность; Рвота,плохой,4
листья брусники,Тошнота; Сомнолентность; Рвота,Тошнота; Сомнолентность; Рвота,плохой,4
нокспрей,Дискомфорт в носу; Сухость во рту,Дискомфорт в носу; Сухость во рту,"плохой, частые побочные реакции",3
овариамин,Менструальное нарушение; Задержка менструации,Менструальное нарушение; Задержка менструации,плохой,3
барбарис комп(иов малыш),,,"плохой, не помогает",2
масло туи,,,"плохой, не помогает",4
прозак,Диарея; Патология желудочно-кишечного тракта; Снижение аппетита; Сомнолентность; Снижение веса,Диарея; Патология желудочно-кишечного тракта; Снижение аппетита; Сомнолентность; Снижение веса,"плохой, частые побочные реакции",3
рулид,Диарея; Жажда; Тошнота; Сухость во рту,Диарея; Жажда; Тошнота; Сухость во рту,"плохой, частые побочные реакции",4
спирт,Боль кожных покровов,Боль кожных покровов,"плохой, частые побочные реакции",1
флемоклав солютаб,Диарея; Рвота; Тошнота; Сыпь,Диарея; Рвота; Тошнота; Сыпь,"плохой, частые побочные реакции",4
ацекардин,Снижение уровня протромбина; Эпистаксис,Снижение уровня протромбина; Эпистаксис,"плохой, частые побочные реакции",5
биотредин,Апатия; Сомнолентность; Вялость; Агрессия; Чувство тревоги,Апатия; Сомнолентность; Вялость; Агрессия; Чувство тревоги,"хороший, но есть побочные реакции",2
лонгидаза,Боль внизу живота,Боль внизу живота,"плохой, частые побочные реакции",1
эманера,Боль; болей в кишечнике; Головокружение; Сухость во рту; Сенсорное расстройство; Боль в верхних отделах живота; Абдоминальный дискомфорт; Боль в животе,Боль; болей в кишечнике; Головокружение; Сухость во рту; Сенсорное расстройство,"плохой, частые побочные реакции",4
дягтерным мылом,Себорея; Отравление,Себорея; Отравление,плохой,1
дустовым мылом,Себорея; Отравление,Себорея; Отравление,плохой,3
параникс,Себорея; Отравление,Себорея; Отравление,плохой,1
ганатон,,,хороший,4
клавулановая кислота,Диарея; Боль в животе,Диарея; Боль в животе,"плохой, частые побочные реакции",5
пансорал,Анафилактический шок; Гиперчувствительность; Дисфагия,Анафилактический шок; Гиперчувствительность; Дисфагия,"плохой, частые побочные реакции",2
калгель,Гиперчувствительность; Анафилактический шок; Дисфагия,Гиперчувствительность; Анафилактический шок; Дисфагия,"плохой, частые побочные реакции",3
paranix,Эритема; Пятно,Эритема; Пятно,плохой,3
лизобакт,,,хороший,2
релиф,расслабление кишечника; Боль в животе,расслабление кишечника; Боль в животе,плохой,3
прокто-гливенол,расслабление кишечника; Боль в животе; Гиперчувствительность,расслабление кишечника; Боль в животе; Гиперчувствительность,плохой,1
комбилипен,Зуд; Угри; Снижение артериального давления; Потеря сознания; Гипервитаминоз; Астения; Брадикардия; Апатия,Зуд; Угри; Снижение артериального давления; Потеря сознания; Гипервитаминоз,"плохой, частые побочные реакции",5
норматенс,Переносимость препарата,Переносимость препарата,"плохой, частые побочные реакции",3
орасепта,"Гиперчувствительность; Сыпь, макулезная; Снижение уровня калия в крови; Мышечные спазмы; Боль кожных покровов; Чувство жжения; Гипестезия полости рта","Гиперчувствительность; Сыпь, макулезная; Снижение уровня калия в крови; Мышечные спазмы; Боль кожных покровов","плохой, частые побочные реакции",5
кассия,Запор; Карцинома желудочно-кишечного тракта; Злоупотребление психоактивными веществами/лекарственными препаратами,Запор; Карцинома желудочно-кишечного тракта; Злоупотребление психоактивными веществами/лекарственными препаратами,"плохой, частые побочные реакции",3
александрийский лист,Запор; Карцинома желудочно-кишечного тракта; Злоупотребление психоактивными веществами/лекарственными препаратами,Запор; Карцинома желудочно-кишечного тракта; Злоупотребление психоактивными веществами/лекарственными препаратами,"плохой, частые побочные реакции",4
рыбий жир,Диарея; Боль в верхних отделах живота; Тошнота,Диарея; Боль в верхних отделах живота; Тошнота,"плохой, частые побочные реакции",2
кандид б,Дискомфорт в ухе; Сухая кожа; Гиперчувствительность; Зуд; Пеленочный дерматит,Дискомфорт в ухе; Сухая кожа; Гиперчувствительность; Зуд; Пеленочный дерматит,"плохой, частые побочные реакции",4
ибуфен д для детей,Сыпь; Рвота; Раздражение горла,Сыпь; Рвота; Раздражение горла,"плохой, частые побочные реакции",5
мемоплант,Патология желудка; Головная боль,Патология желудка; Головная боль,плохой,1
билобилом,Патология желудка; Головная боль,Патология желудка; Головная боль,плохой,2
тералиджен,Сомнолентность; Сердце чуть не отказало; Кошмары; Настроение измененное; Одышка; Раздражительность; Апатия; Бессонница; стало плохо с сердцем; Нарушение внимания; Вялость; Плаксивость; Плач,Сомнолентность; Сердце чуть не отказало; Кошмары; Настроение измененное; Одышка,"плохой, частые побочные реакции",3
валкодарин,Сердце чуть не отказало; Кошмары; Настроение измененное; Одышка; Раздражительность; Апатия; Сомнолентность; Бессонница; стало плохо с сердцем; Нарушение внимания; Головная боль; Задержка мочи; Состояние спутанности сознания; Боль в животе; Повышение артериального давления; Сердцебиение,Сердце чуть не отказало; Кошмары; Настроение измененное; Одышка; Раздражительность,"плохой, частые побочные реакции",3
ременс,Ощущение жара; Увеличение веса; Гипергидроз; Сердцебиение; Артралгия; Низкое качество сна; Прилив жара,Ощущение жара; Увеличение веса; Гипергидроз; Сердцебиение; Артралгия,плохой,2
феминал,Ощущение жара; Увеличение веса; Гипергидроз; Сердцебиение; Артралгия; Низкое качество сна; Прилив жара,Ощущение жара; Увеличение веса; Гипергидроз; Сердцебиение; Артралгия,плохой,5
