indication,drugs,drugs_top5,drugs_best,fold
Положительный результат исследования на хеликобактер,клацид; de-nol; де-нол,клацид; de-nol; де-нол,нет хороших лекарств,3
повысить иммунитет,элеутерококка экстракт жидкий,элеутерококка экстракт жидкий,элеутерококка экстракт жидкий,5
Неправильное положение матки,полижинакс,полижинакс,нет хороших лекарств,5
Враждебность,глицин,глицин,нет хороших лекарств,2
Ослабленная иммунная реактивность,ацикловир; фурагин; нолицин; мотилиум; листья брусники,ацикловир; фурагин; нолицин; мотилиум; листья брусники,нет хороших лекарств,4
Стимуляция периферического кровотока,пентоксифиллин,пентоксифиллин,нет хороших лекарств,2
Солнечный ожог,пантенол; panthenol forte с каротином,пантенол; panthenol forte с каротином,нет хороших лекарств,1
Приливы крови,пантенол; panthenol forte с каротином; ромашка,пантенол; panthenol forte с каротином; ромашка,нет хороших лекарств,2
Наложение шва,стрептоцид; бриллиантовый зеленый; солкосерил,стрептоцид; бриллиантовый зеленый; солкосерил,нет хороших лекарств,2
для поддержания микрофлоры кишечника,лактиале,лактиале,нет хороших лекарств,5
Кровотечение в интранатальном периоде,феррум,феррум,нет хороших лекарств,5
Воспаление матки,галавит,галавит,галавит,2
"Температура вечером 37,2, утром 36.6",эргоферон; амбробене; лоратадин; ацц,эргоферон; амбробене; лоратадин; ацц,нет хороших лекарств,5
Кахексия,азалептин,азалептин,нет хороших лекарств,5
больные почки,сироп солодкового корня,сироп солодкового корня,нет хороших лекарств,1
Бронхоспазм,аскорил,аскорил,нет хороших лекарств,2
внутренними воспалениями,скинорен,скинорен,нет хороших лекарств,4
Грудное вскармливание,компливит; витрум пренатал форте; витрум пренатал; витрум,компливит; витрум пренатал форте; витрум пренатал; витрум,нет хороших лекарств,4
Утренняя тошнота беременных,инлайт; преднизолон; асепта; витрум пренатал; феррум; полижинакс; пренатал; элевит; дюфастон,инлайт; преднизолон; асепта; витрум пренатал; феррум,нет хороших лекарств,5
Сухость слизистых оболочек,гипорамин,гипорамин,нет хороших лекарств,5
проблемами с желудком,вобэнзим,вобэнзим,нет хороших лекарств,5
кожным заболеванием,вобэнзим,вобэнзим,нет хороших лекарств,1
заболеваний желудка,гасталом; гастал,гасталом; гастал,гасталом; гастал,3
Прилив жара,panadol baby; панадол; панадол детский,panadol baby; панадол; панадол детский,panadol baby; панадол детский,5
Пемфигоид,ацикловир,ацикловир,нет хороших лекарств,2
"Сыпь, везикулезная",ацикловир,ацикловир,нет хороших лекарств,3
Сенсорное расстройство,ацикловир; мезим; пензитал; кетопрофен; кетонал; кетоналовых; кандид б; гексикон,ацикловир; мезим; пензитал; кетопрофен; кетонал,нет хороших лекарств,3
Темные круги под глазами,гепариновая мазь; глицин; ноопепт; бадяга иван чай; ферумбо,гепариновая мазь; глицин; ноопепт; бадяга иван чай; ферумбо,нет хороших лекарств,2
Гипотензия,глицин; ноопепт,глицин; ноопепт,нет хороших лекарств,1
Острый холецистит,мезим; пензитал,мезим; пензитал,нет хороших лекарств,2
Боль в области молочных желез,достинекс; дюфастон,достинекс; дюфастон,нет хороших лекарств,1
Терапия для наращивания мышечной массы,омнадрен; тестостерон,омнадрен; тестостерон,нет хороших лекарств,2
Хронический тонзиллит,фромилид уно; угля,фромилид уно; угля,нет хороших лекарств,1
Перегиб желчного пузыря,galstena; галстен,galstena; галстен,нет хороших лекарств,4
Осложнение после аборта,макмирор,макмирор,макмирор,2
Вагинальные выделения,клотримазол; полижинакс; макмирор; гексикон,клотримазол; полижинакс; макмирор; гексикон,макмирор,3
Изменение цвета кожи,бадяга; макмирор; эспумизан; риабал,бадяга; макмирор; эспумизан; риабал,макмирор,5
Ушиб,гепариновая мазь; бадяга иван чай,гепариновая мазь; бадяга иван чай,нет хороших лекарств,3
Отечность в области сустава,живокост (босвелия; живокости с пчелиным ядом; гепариновая мазь; димексид,живокост (босвелия; живокости с пчелиным ядом; гепариновая мазь; димексид,нет хороших лекарств,1
Гематома вследствие травмы,гепариновая мазь,гепариновая мазь,нет хороших лекарств,1
Варикоз вен,гепариновая мазь,гепариновая мазь,нет хороших лекарств,1
Атрофия кожи,иммуджен; витамин е,иммуджен; витамин е,нет хороших лекарств,4
Зубной свищ,полиоксидоний,полиоксидоний,нет хороших лекарств,2
Пронзительный крик,акдс,акдс,нет хороших лекарств,2
Снижение рН желудка,алмагель; гастрацид; маалокс; метронидазол; триовит,алмагель; гастрацид; маалокс; метронидазол; триовит,нет хороших лекарств,4
Боль после родов,кетопрофен; кетонал; кетоналовых,кетопрофен; кетонал; кетоналовых,нет хороших лекарств,3
Повреждение влагалища и вульвы,кетопрофен; кетонал; кетоналовых,кетопрофен; кетонал; кетоналовых,нет хороших лекарств,1
Отечность глаз,аллергодил; зодак; тавегил; сонмил; фуросемид; гепариновая мазь; ципрофарм,аллергодил; зодак; тавегил; сонмил; фуросемид,нет хороших лекарств,5
для лечения слуха,тафен назаль; тафен,тафен назаль; тафен,нет хороших лекарств,3
Оперативное лечение,абактал,абактал,нет хороших лекарств,3
для адаптации к саду,тенотен; тенотен детский; глицин,тенотен; тенотен детский; глицин,нет хороших лекарств,4
Нарушение со стороны желчного пузыря,урсофальк; смекта; урсолив; урдокса; урсосан,урсофальк; смекта; урсолив; урдокса; урсосан,нет хороших лекарств,5
Билиарная колика,урсофальк,урсофальк,нет хороших лекарств,1
Язык с налетом,урсофальк,урсофальк,нет хороших лекарств,2
опухоль,дексаметазон; омез,дексаметазон; омез,нет хороших лекарств,3
Тахикардия,барбовал,барбовал,нет хороших лекарств,2
нарушениями функций печени и почек,валтрекс; валацикловир,валтрекс; валацикловир,валацикловир,4
Отек носовых пазух,др. тайсс; dr.theiss; ринофлуимуцил; изофра; флемоклав солютаб; ксимелин,др. тайсс; dr.theiss; ринофлуимуцил; изофра; флемоклав солютаб,нет хороших лекарств,5
Рубец,ацикловир; ацикловир белупо; суперчистотел; чистотел; леккер-суперчистотело,ацикловир; ацикловир белупо; суперчистотел; чистотел; леккер-суперчистотело,нет хороших лекарств,5
Полипэктомия,азитромицин; сафоцид; амоксиклав,азитромицин; сафоцид; амоксиклав,сафоцид,1
после операции у меня резко снизился иммунитет,азитромицин; сафоцид; амоксиклав,азитромицин; сафоцид; амоксиклав,сафоцид,1
Гнойная пробка в миндалине,азитромицин; сафоцид; амоксиклав; имудоном,азитромицин; сафоцид; амоксиклав; имудоном,сафоцид,2
Отек лица,цетиризин-obl; цетрин; амиксин,цетиризин-obl; цетрин; амиксин,нет хороших лекарств,2
Снижение числа тромбоцитов,преднизолон; вифор мальтофер; мальтофер,преднизолон; вифор мальтофер; мальтофер,нет хороших лекарств,5
Нарушение походки,преднизолон; тиамин; перодоксин; аскорбиновая кислота; компливит; комплигам в; лидокаин; хондроксид; энтеросгель; индометацин; метотрексат; акатинол мемантин; мемантина акатинола; рексетин; диафлекс; омепразол; диафлекс ромфарм,преднизолон; тиамин; перодоксин; аскорбиновая кислота; компливит,нет хороших лекарств,5
Одинофагия,линкас орви; орви колд,линкас орви; орви колд,линкас орви; орви колд,1
Синкопе,глицин; кортексин для детей; супрастин,глицин; кортексин для детей; супрастин,нет хороших лекарств,1
Нарушение психики,афобазол; глицин; фенибут; тенотен детский,афобазол; глицин; фенибут; тенотен детский,нет хороших лекарств,1
больных желудков,arnebia; арнебия мультивитамин,arnebia; арнебия мультивитамин,нет хороших лекарств,5
Расстройство регуляции вегетативной нервной системы,гидазепам; конкор,гидазепам; конкор,нет хороших лекарств,5
Нежелательная лекарственная реакция,линексом; амоксициллин,линексом; амоксициллин,нет хороших лекарств,5
аллергическими проявлениями,лоратадин,лоратадин,нет хороших лекарств,1
Восполнение потери жидкости,фуросемид,фуросемид,нет хороших лекарств,4
Гингивит,асепта,асепта,нет хороших лекарств,3
ухудшение состояния зубов,асепта,асепта,нет хороших лекарств,1
Себорея,posay effaclar duo+; ретиноевая мазь; nivea; скинорен; акнекутан,posay effaclar duo+; ретиноевая мазь; nivea; скинорен; акнекутан,нет хороших лекарств,4
Маточная атония,окситоцин-рихтер; окситоцина,окситоцин-рихтер; окситоцина,нет хороших лекарств,5
Дискомфорт,протефлазид; окситоцин-рихтер; окситоцина; гемороль; флуоксетин; прозак; суперчистотел; ацикловир; зовиракс; гидрокортизон; тержинан; полижинакс; дриптан; трихопол,протефлазид; окситоцин-рихтер; окситоцина; гемороль; флуоксетин,зовиракс,1
Повышение уровня глюкозы в крови,актрапид; инсулин,актрапид; инсулин,нет хороших лекарств,3
заболевании желудка,имудоном,имудоном,нет хороших лекарств,1
повышенный метеоризм,биогая детские капли,биогая детские капли,нет хороших лекарств,4
Повреждение слезного аппарата,азинтроп; флоксал; тобрекс,азинтроп; флоксал; тобрекс,нет хороших лекарств,2
Отек глаза,азинтроп; флоксал; тобрекс; бадяга форте; бадяга,азинтроп; флоксал; тобрекс; бадяга форте; бадяга,нет хороших лекарств,4
Травма кожи,солкосерил,солкосерил,нет хороших лекарств,1
Агорафобия,эглонил; сульпирид,эглонил; сульпирид,нет хороших лекарств,3
Аменорея,эглонил; сульпирид,эглонил; сульпирид,нет хороших лекарств,4
Снижение уровня сознания,эглонил; сульпирид; сорбифер; гофен; пятирчатка; нурофен; винпотропил; но-шпа,эглонил; сульпирид; сорбифер; гофен; пятирчатка,нет хороших лекарств,1
болезнь средней степени тяжести,мемы; мема,мемы; мема,нет хороших лекарств,4
деменции,мемы; мема,мемы; мема,нет хороших лекарств,1
Нарушение аккомодации,глицин,глицин,нет хороших лекарств,5
Изменение цвета фекалий,бифидумбактерин; лактобактерин; линексом; бифиформ,бифидумбактерин; лактобактерин; линексом; бифиформ,нет хороших лекарств,2
Артрит,диклофенак; наклофен,диклофенак; наклофен,нет хороших лекарств,5
перебои сердечного ритма,корвалол; фитосед; барбовал,корвалол; фитосед; барбовал,нет хороших лекарств,2
проблем с суставами,терафлекс,терафлекс,нет хороших лекарств,4
Пневмонит,бисептол,бисептол,нет хороших лекарств,5
Респираторное нарушение,бисептол,бисептол,нет хороших лекарств,2
Повышенная послеродовая лактация,бромокриптин,бромокриптин,нет хороших лекарств,3
Дисбиоз,линексом; форте; линекс форте; линекс; бифиформ; бифидумбактерин; эспумизан; роза феникс; клотримазол; флуконазол; дифлюкан,линексом; форте; линекс форте; линекс; бифиформ,нет хороших лекарств,2
Нетипичные шумы желудочно-кишечного тракта,линексом; форте; линекс форте; линекс,линексом; форте; линекс форте; линекс,нет хороших лекарств,2
Эпилепсия,кеппра,кеппра,нет хороших лекарств,2
Ночные страхи,глицин,глицин,нет хороших лекарств,4
Сноговорение,глицин,глицин,нет хороших лекарств,4
Ощущение инородного тела,сульфадиметоксин,сульфадиметоксин,нет хороших лекарств,3
Мышечная гипотония,энцефабол,энцефабол,нет хороших лекарств,4
Глистная инвазия,немозол; активированный уголь; смекта; декарис; декарис детский; бильтрициду,немозол; активированный уголь; смекта; декарис; декарис детский,нет хороших лекарств,1
Патология межпозвоночных дисков,амелотекс; кокарнит; хондрогард,амелотекс; кокарнит; хондрогард,нет хороших лекарств,1
Аллергия на жало членистоногого,живокост (босвелия; живокости с пчелиным ядом,живокост (босвелия; живокости с пчелиным ядом,нет хороших лекарств,5
Чувство дискомфорта в груди,ацетилцистеин; ацц,ацетилцистеин; ацц,нет хороших лекарств,2
Бронхит,ацетилцистеин; ацц,ацетилцистеин; ацц,нет хороших лекарств,3
Неприятный запах от гениталий,клотримазол,клотримазол,нет хороших лекарств,2
Метеопатия,галидор; корвалол; корвалтаб экстра,галидор; корвалол; корвалтаб экстра,нет хороших лекарств,2
Желудочно-кишечная боль,галидор; газоспазам,галидор; газоспазам,нет хороших лекарств,3
Алкогольное похмелье,глицин,глицин,нет хороших лекарств,2
Аногенитальные бородавки,изопринозин; генферон,изопринозин; генферон,нет хороших лекарств,3
много других заболеваний желудочно-кишечного тракта,париет,париет,нет хороших лекарств,4
для лечения желудка и кишечника,париет,париет,нет хороших лекарств,1
Воспаление глаз,ципромед; офтан дексаметазон; hydrocortisone; визин; гидрокортизон; ципрофарм; таурин; цетиризин-тева,ципромед; офтан дексаметазон; hydrocortisone; визин; гидрокортизон,нет хороших лекарств,4
Конъюнктивит,ципромед; левомицетин; настоем ромашки,ципромед; левомицетин; настоем ромашки,нет хороших лекарств,3
Остеит вследствие отложения минеральных солей,меmoria; циннаризин; омарон; пирацетам,меmoria; циннаризин; омарон; пирацетам,нет хороших лекарств,4
для нашего сердца,панангин; аспаркам,панангин; аспаркам,нет хороших лекарств,2
для работы нашей сердечной мышцы,панангин; аспаркам,панангин; аспаркам,нет хороших лекарств,3
Пластика анального свища,серрата; левомиколь; сератту; офор; нимесил,серрата; левомиколь; сератту; офор; нимесил,нет хороших лекарств,5
для нормализации ЖКТ,серрата; левомиколь; сератту; офор; нимесил,серрата; левомиколь; сератту; офор; нимесил,нет хороших лекарств,4
Паукообразный невус,венолгон,венолгон,нет хороших лекарств,1
Дефицит железа,ферумбо; сорбифер,ферумбо; сорбифер,нет хороших лекарств,2
Гепатомегалия,фосфоглив форте; фосфоглив; эссенциале форте,фосфоглив форте; фосфоглив; эссенциале форте,нет хороших лекарств,3
Неточно обозначенное расстройство,регулакс пикосульфат; регулакс,регулакс пикосульфат; регулакс,нет хороших лекарств,1
при лечении ЖКТ,метронидазол,метронидазол,нет хороших лекарств,2
болезнетворные микробы в желудке,метронидазол,метронидазол,нет хороших лекарств,1
проблемах желудочно-кишечного тракта,метронидазол,метронидазол,нет хороших лекарств,4
Повышенное внутричерепное давление,мильгамма; танакан; пантокальцин,мильгамма; танакан; пантокальцин,танакан,5
Трещина заднего прохода,анестезол; гемороль,анестезол; гемороль,нет хороших лекарств,2
Профилактика гинекологического нарушения,диклофенак; диклоберл 100,диклофенак; диклоберл 100,нет хороших лекарств,3
Боль в гениталиях,диклофенак; диклоберл 100,диклофенак; диклоберл 100,нет хороших лекарств,5
Раздражение бронхов,сальбутамол,сальбутамол,нет хороших лекарств,2
Аллергия на животное,сальбутамол,сальбутамол,нет хороших лекарств,1
вирусные инфекции,ацикловир,ацикловир,нет хороших лекарств,2
навязчивые движения,аминалон; тералиджен,аминалон; тералиджен,нет хороших лекарств,2
Развитие навыков речи,глицин; когнум,глицин; когнум,нет хороших лекарств,2
Повышение внутриглазного давления,азопт; пилокарпин; кеторол,азопт; пилокарпин; кеторол,нет хороших лекарств,2
Профилактика нефролитиаза,тринефрон; тринефрон-здоровье,тринефрон; тринефрон-здоровье,нет хороших лекарств,3
Сахарный диабет,глюкофаж; метроформин,глюкофаж; метроформин,нет хороших лекарств,4
Отклонение от нормы уровня инсулина в крови,глюкофаж; метроформин,глюкофаж; метроформин,нет хороших лекарств,3
Искусственный аборт,церукал; мифепристона; мизопростола; миропристон,церукал; мифепристона; мизопростола; миропристон,нет хороших лекарств,4
в животе все встаёт колом,форлакс,форлакс,нет хороших лекарств,3
проблемы с белым другом,форлакс,форлакс,нет хороших лекарств,5
Негативные мысли,флуоксетин; флу; хлорпротиксен,флуоксетин; флу; хлорпротиксен,нет хороших лекарств,4
Алкоголизм,тетурам,тетурам,нет хороших лекарств,5
Гемоконцентрация,глицисед; аспирин; нольпаза; омепразол,глицисед; аспирин; нольпаза; омепразол,нет хороших лекарств,4
Храп,назоферон; авамис; назонекс,назоферон; авамис; назонекс,нет хороших лекарств,3
для поддержки щитовидной железы,триовит,триовит,нет хороших лекарств,2
Повышение уровня тестостерона в крови,метипред,метипред,нет хороших лекарств,4
Недостаточность левого желудочка,беталок зок,беталок зок,нет хороших лекарств,1
Профилактика ишемической болезни сердца,беталок зок; ацекардол,беталок зок; ацекардол,ацекардол,5
Инфекция,зинат,зинат,нет хороших лекарств,4
Воспаление раны,зинат,зинат,нет хороших лекарств,2
Остеохондроз,найз; меновазин; сирдалуд; мидокалм,найз; меновазин; сирдалуд; мидокалм,нет хороших лекарств,5
Скелетно-мышечная скованность,найз; меновазин; сирдалуд; мидокалм,найз; меновазин; сирдалуд; мидокалм,нет хороших лекарств,3
Гипергидроз,катадолон форте; артрозан,катадолон форте; артрозан,нет хороших лекарств,3
Тревожное расстройство,хлорпротиксен; энцефабол; тенотен детский,хлорпротиксен; энцефабол; тенотен детский,нет хороших лекарств,4
Аллергия на укусы насекомых,лоратадин,лоратадин,нет хороших лекарств,5
Гипотонус матки,сорбифер,сорбифер,нет хороших лекарств,3
Задержка моторного развития,кортексин для детей; кортексин,кортексин для детей; кортексин,нет хороших лекарств,5
Зуд в ухе,кандибиотик,кандибиотик,нет хороших лекарств,2
Сниженное настроение,аминолоном; пирацетам; афобазол,аминолоном; пирацетам; афобазол,нет хороших лекарств,4
"этим"" проблемы",сенна,сенна,нет хороших лекарств,4
Влагалищное кровоизлияние,дюфастон; метрогил,дюфастон; метрогил,нет хороших лекарств,4
Снижение уровня прогестерона,дюфастон,дюфастон,нет хороших лекарств,4
пониженным эмоциональным фоном,флуоксетин; прозак,флуоксетин; прозак,нет хороших лекарств,4
Безразличие,флуоксетин; прозак; пустырник,флуоксетин; прозак; пустырник,нет хороших лекарств,4
Снижение активности,флуоксетин; прозак,флуоксетин; прозак,нет хороших лекарств,1
Аритмия,флуоксетин; прозак,флуоксетин; прозак,нет хороших лекарств,2
Спайки в матке,лонгидаза,лонгидаза,нет хороших лекарств,1
Послеоперационные спайки,лонгидаза,лонгидаза,нет хороших лекарств,3
Скопление жидкости в области таза,лонгидаза,лонгидаза,нет хороших лекарств,4
страдает кишечник,бифиформ,бифиформ,нет хороших лекарств,4
Дуодено-гастральный рефлюкс,ганатон,ганатон,ганатон,3
Эрозивный гастрит,ганатон; флемоксин; эзолонг; трикасайд; анаприлин,ганатон; флемоксин; эзолонг; трикасайд; анаприлин,ганатон,1
Боль внизу живота,полижинакс; фурадонин; леволет; левофлоксацин; дротаверин; но-шпа,полижинакс; фурадонин; леволет; левофлоксацин; дротаверин,нет хороших лекарств,3
Имплантация зуба,амоксициллин; клавулановая кислота; линекс; амоксиклав,амоксициллин; клавулановая кислота; линекс; амоксиклав,нет хороших лекарств,1
Антибиотикопрофилактика,амоксициллин; клавулановая кислота; линекс; амоксиклав,амоксициллин; клавулановая кислота; линекс; амоксиклав,нет хороших лекарств,2
Удаление зуба мудрости,амоксициллин; клавулановая кислота; линекс; амоксиклав,амоксициллин; клавулановая кислота; линекс; амоксиклав,нет хороших лекарств,1
Зуд в носу,авамис; назаваль,авамис; назаваль,нет хороших лекарств,1
Частота сердечных сокращений ниже нормы,норматенс,норматенс,нет хороших лекарств,5
Гипертензия,индапамид,индапамид,нет хороших лекарств,4
Отклонение от нормы уровня гемоглобина,феррум,феррум,нет хороших лекарств,3
Поражение ногтя,кандид б; метипред; преднизолон; димедрол; омез,кандид б; метипред; преднизолон; димедрол; омез,нет хороших лекарств,5
Дискомфорт в ухе,кандид б,кандид б,нет хороших лекарств,4
Отклонение от нормы результатов мазка из шейки матки,гексикон,гексикон,нет хороших лекарств,3
Внутриматочная контрацепция,гексикон,гексикон,нет хороших лекарств,1
"Заболевание, передающееся половым путем.",гексикон,гексикон,нет хороших лекарств,3
Профилактика гастрита,нольпаза; омепразол,нольпаза; омепразол,нет хороших лекарств,1
Пеленочный дерматит,ромашка; кандит; кандид б,ромашка; кандит; кандид б,нет хороших лекарств,2
не могла нормально питаться,гедозепаму; сульпирид,гедозепаму; сульпирид,нет хороших лекарств,4
Бруксизм,пантокальцин,пантокальцин,нет хороших лекарств,4
Кривошея,l-лизина эсцинат,l-лизина эсцинат,нет хороших лекарств,1
Повышение числа лейкоцитов,эльжина; пимафуцин; гексикон; дазолик,эльжина; пимафуцин; гексикон; дазолик,нет хороших лекарств,1
микротрещины зубов,настойку корня аира; настойка прополиса,настойку корня аира; настойка прополиса,нет хороших лекарств,1
Бред,галоперидол; сероквель; циклодол; акатинол мемантин; мемантина акатинола,галоперидол; сероквель; циклодол; акатинол мемантин; мемантина акатинола,нет хороших лекарств,5
Острый психоз,галоперидол; сероквель; циклодол,галоперидол; сероквель; циклодол,нет хороших лекарств,4
Афония,тонзилгон н; ингалипт,тонзилгон н; ингалипт,нет хороших лекарств,2
Нарушение со стороны носа,аква марис,аква марис,нет хороших лекарств,1
проблем со своим женским здоровьем,прогестерона,прогестерона,нет хороших лекарств,5
проблем с поджелудочной,актрапид,актрапид,нет хороших лекарств,5
Неврологический симптом,тиамин; перодоксин; аскорбиновая кислота; компливит; комплигам в; лидокаин,тиамин; перодоксин; аскорбиновая кислота; компливит; комплигам в,нет хороших лекарств,4
Состояние спутанности сознания,драмину,драмину,нет хороших лекарств,3
лопаться сосуды в глазу,супрастин; эмоксипин,супрастин; эмоксипин,нет хороших лекарств,1
к вечеру один-два лопались,супрастин; эмоксипин,супрастин; эмоксипин,нет хороших лекарств,5
Сосуды лопаться,супрастин; эмоксипин,супрастин; эмоксипин,нет хороших лекарств,4
ужасные головные боли,цитрамон,цитрамон,нет хороших лекарств,5
Сниженный интерес,стратерра,стратерра,нет хороших лекарств,4
Повышение уровня пролактина в крови,агалатес,агалатес,нет хороших лекарств,2
Ангиопатия,винпоцетин; кавинтон; кавинтон форте,винпоцетин; кавинтон; кавинтон форте,нет хороших лекарств,4
Ощущение жжения в вульвовагинальной области,полижинакс,полижинакс,нет хороших лекарств,5
Врожденный порок развития мозга,цераксон,цераксон,нет хороших лекарств,4
Задержка менструации,церукал; дюфастон; мамитон; эндолутена; женолутен,церукал; дюфастон; мамитон; эндолутена; женолутен,нет хороших лекарств,1
Скелетно-мышечная боль,триган-д,триган-д,нет хороших лекарств,3
Фотофобия,амиксин,амиксин,нет хороших лекарств,2
Парестезия,фенибут; атаракс; валериана; пустырник,фенибут; атаракс; валериана; пустырник,нет хороших лекарств,5
заболеваний глаз,ципрофарм,ципрофарм,нет хороших лекарств,3
Вывих сустава,димексид,димексид,нет хороших лекарств,5
Промывание носа,аквалор беби; аквалор беби мягкий душ,аквалор беби; аквалор беби мягкий душ,аквалор беби мягкий душ,1
Задержка развития крупной моторики,когитум,когитум,нет хороших лекарств,1
Ходьба на цыпочках,когитум,когитум,нет хороших лекарств,5
Гидроцефалия,кортексин,кортексин,нет хороших лекарств,4
Грибковая инфекция кожи,залаин; клотримазол; лоцерил,залаин; клотримазол; лоцерил,нет хороших лекарств,5
Киста,сомазина,сомазина,нет хороших лекарств,5
Тонзиллит,тонзилгон н,тонзилгон н,нет хороших лекарств,2
Ушиб глаза,бадяга,бадяга,нет хороших лекарств,3
Простой герпес (HSV),ацикловир; зовиракс,ацикловир; зовиракс,зовиракс,4
Слепота,азопт,азопт,нет хороших лекарств,5
при заболеваниях артерий конечностей,спазган; но-шпа; галидор; эссенциале форте; актовегин,спазган; но-шпа; галидор; эссенциале форте; актовегин,нет хороших лекарств,4
Нарушение со стороны крови,спазган; но-шпа; галидор; эссенциале форте; актовегин,спазган; но-шпа; галидор; эссенциале форте; актовегин,нет хороших лекарств,1
Гипертонический криз,метилдопа; допегит,метилдопа; допегит,нет хороших лекарств,3
Профилактика сердечно-сосудистых нарушений,ацетилсалициловая кислота; аспирин,ацетилсалициловая кислота; аспирин,нет хороших лекарств,1
Ревматическая болезнь,ацетилсалициловая кислота; аспирин,ацетилсалициловая кислота; аспирин,нет хороших лекарств,4
Психиатрический симптом,афобазол,афобазол,нет хороших лекарств,5
Травма мениска,кетонал; индометацин,кетонал; индометацин,нет хороших лекарств,3
Холестаз,урсофальк; урдокса; урсосан,урсофальк; урдокса; урсосан,нет хороших лекарств,5
Болезненные позывы к дефекации,микролакс,микролакс,нет хороших лекарств,1
Онихомадезис,медобиотин; умная эмаль,медобиотин; умная эмаль,нет хороших лекарств,2
Описторхоз,немозол; бильтрициду,немозол; бильтрициду,нет хороших лекарств,1
Олигогидрамнион,клексан,клексан,нет хороших лекарств,4
от суставов,ибупрофен,ибупрофен,нет хороших лекарств,1
проблемы с суставами,ибупрофен,ибупрофен,нет хороших лекарств,1
Лейомиома,эсмия,эсмия,нет хороших лекарств,5
Дефицит цинка в организме,аспирин; цинкит,аспирин; цинкит,нет хороших лекарств,5
Профилактика инфекции,метронидазол; трихопол,метронидазол; трихопол,нет хороших лекарств,4
проблемами с животом,трубочках; газоотводная трубка; боботик,трубочках; газоотводная трубка; боботик,нет хороших лекарств,4
стрессовой нагрузки,фенотропил; пирацетам,фенотропил; пирацетам,нет хороших лекарств,3
Эссенциальный тремор,церепро,церепро,нет хороших лекарств,4
проблемы с животом,бэби калм; саб симплекс,бэби калм; саб симплекс,нет хороших лекарств,1
инфекций кожи,доксициклин; тетрациклин,доксициклин; тетрациклин,нет хороших лекарств,4
инфекции мочеполовой системы,доксициклин; тетрациклин,доксициклин; тетрациклин,нет хороших лекарств,5
Нарушение аппетита,vitrum,vitrum,нет хороших лекарств,5
Перепады настроения,ципралекс,ципралекс,нет хороших лекарств,2
Припухлость лица,метипред; преднизолон; димедрол; омез,метипред; преднизолон; димедрол; омез,нет хороших лекарств,2
Кожные стрии,метипред; преднизолон; димедрол; омез,метипред; преднизолон; димедрол; омез,нет хороших лекарств,4
Болезнь очень сильно навредила моим косточкам,метипред; преднизолон; димедрол; омез,метипред; преднизолон; димедрол; омез,нет хороших лекарств,3
Гиперсомния,семакс,семакс,нет хороших лекарств,4
проблемной кожей,клензит,клензит,нет хороших лекарств,4
Температура скачет,тамифлю,тамифлю,нет хороших лекарств,5
перебои с сердцем,беталок зок; нурофен; кордалоном,беталок зок; нурофен; кордалоном,нет хороших лекарств,5
